country,region,pop_growth,birth_rate,death_rate,maternal_mort_rate,infant_mort_rate,life_expectancy,total_fert_rate,living_with_hiv,hiv_deaths,literacy,gdp_per_capita,unemployment,inflation,adult_obesity,pop_below_poverty
Cuba,Central America and the Caribbean,-0.25,10.4,9.1,36.0,4.3,79.2,1.71,32000.0,500.0,99.8,12300.0,2.6,5.5,24.6,
Curacao,Central America and the Caribbean,0.35000000000000003,13.4,8.7,,7.0,79.0,2.0,,,,15000.0,13.0,2.6,,
Cyprus,Middle East,1.15,10.9,7.0,6.0,7.4,79.3,1.48,1000.0,100.0,99.1,37200.0,7.07,0.7000000000000001,21.8,
Czechia,Europe,0.06,8.9,10.7,3.0,2.6,79.3,1.48,4400.0,100.0,99.0,35500.0,2.8,2.4,26.0,9.7
Denmark,Europe,0.48,11.1,9.5,4.0,3.2,81.2,1.78,6200.0,100.0,,50100.0,3.05,1.1,19.7,13.4
Dhekelia,Middle East,,,,,,,,,,,,,,,
Djibouti,Africa,2.07,22.7,7.3,248.0,41.6,64.7,2.19,6800.0,500.0,,3600.0,40.0,0.7000000000000001,13.5,23.0
Dominica,Central America and the Caribbean,0.13,14.5,8.0,,9.7,77.7,2.02,500.0,100.0,,11000.0,23.0,0.6000000000000001,27.9,29.0
Dominican Republic,Central America and the Caribbean,0.95,18.5,6.3,95.0,20.9,72.0,2.24,72000.0,1900.0,93.8,17000.0,5.1,3.3,27.6,30.5
Ecuador,South America,1.2,17.0,5.2,59.0,15.0,77.5,2.09,47000.0,1000.0,92.8,11500.0,5.71,0.4,19.9,21.5
Egypt,Africa,2.28,27.2,4.4,37.0,17.1,73.7,3.29,26000.0,500.0,71.2,12700.0,7.86,23.5,32.0,27.8
El Salvador,Central America and the Caribbean,0.8300000000000001,18.6,5.9,46.0,11.8,74.8,2.09,27000.0,1000.0,88.5,8000.0,7.0,1.0,24.6,32.7
Equatorial Guinea,Africa,2.35,30.7,7.3,301.0,59.7,65.7,4.11,65000.0,1800.0,95.3,37400.0,8.6,0.7000000000000001,8.0,44.0
Eritrea,Africa,0.93,27.9,6.9,480.0,43.3,66.2,3.73,14000.0,500.0,76.6,1600.0,5.8,9.0,5.0,50.0
